Level,Workout_Type,Duration_Min,Calories_Burned,Food_Item,Calories,Protein_g,Carbs_g,Fats_g,Goal,Meal,Workout_Duration_Min,Workout_Calories,Food_Calories,Net_Calories
Beginner,Yoga,,547.0,Milk,,33.0,217.0,89.5,Weight Loss,Breakfast,33.0,,3323.0,2776.0
Advanced,Yoga,,518.0,Paneer,,27.8,288.1,17.2,Weight Loss,Dinner,55.0,,2189.0,1671.0
Beginner,Strength,,597.0,Vegetables,,40.3,76.7,65.3,Weight Loss,Breakfast,88.0,,3466.0,2869.0
Beginner,Yoga,,439.0,Rice,,79.8,106.6,57.8,Weight Loss,Breakfast,40.0,,2030.0,1591.0
Advanced,HIIT,,730.0,Milk,,71.9,114.0,55.0,Fitness,Breakfast,58.0,,1991.0,1261.0
Intermediate,HIIT,,623.0,Oats,,13.8,215.6,14.1,Muscle Gain,Breakfast,35.0,,1731.0,1108.0
Intermediate,Strength,,424.0,Egg,,36.9,125.4,72.1,Weight Loss,Dinner,56.0,,3060.0,2636.0
Intermediate,HIIT,,188.0,Milk,,11.7,70.2,59.3,Weight Loss,Breakfast,69.0,,2175.0,1987.0
Advanced,Cardio,,312.0,Fish,,26.2,77.8,68.2,Weight Loss,Lunch,70.0,,2391.0,2079.0
Advanced,Cardio,,225.0,Egg,,15.9,82.2,53.1,Muscle Gain,Snack,49.0,,1232.0,1007.0
Advanced,HIIT,,218.0,Rice,,72.1,60.6,47.5,Fitness,Dinner,36.0,,2245.0,2027.0
Intermediate,Cardio,,698.0,Chicken,,11.5,119.1,30.4,Fitness,Snack,26.0,,2307.0,1609.0
Beginner,HIIT,,543.0,Fish,,68.8,78.7,15.0,Fitness,Snack,62.0,,2323.0,1780.0
Advanced,Yoga,,318.0,Vegetables,,39.0,121.1,65.5,Muscle Gain,Dinner,77.0,,1719.0,1401.0
Advanced,Yoga,,791.0,Oats,,58.4,285.8,87.9,Muscle Gain,Dinner,77.0,,3285.0,2494.0
Beginner,Strength,,478.0,Rice,,10.8,230.7,35.9,Weight Loss,Lunch,42.0,,2126.0,1648.0
Advanced,Yoga,,157.0,Fruits,,45.9,187.6,43.7,Weight Loss,Breakfast,20.0,,3380.0,3223.0
Advanced,Cardio,,683.0,Rice,,27.5,256.5,85.7,Muscle Gain,Dinner,84.0,,3410.0,2727.0
Intermediate,HIIT,,462.0,Milk,,63.3,72.3,19.6,Muscle Gain,Breakfast,49.0,,1554.0,1092.0
Beginner,Cardio,,803.0,Oats,,23.0,105.3,93.9,Muscle Gain,Breakfast,59.0,,1510.0,707.0
Advanced,HIIT,,574.0,Chicken,,14.5,299.8,45.0,Weight Loss,Dinner,79.0,,1648.0,1074.0
Intermediate,Strength,,563.0,Chicken,,74.2,238.1,89.1,Fitness,Lunch,64.0,,1953.0,1390.0
Intermediate,HIIT,,892.0,Vegetables,,18.5,209.4,20.6,Muscle Gain,Dinner,66.0,,2054.0,1162.0
Beginner,Cardio,,216.0,Oats,,11.4,97.8,75.6,Weight Loss,Snack,32.0,,1676.0,1460.0
Intermediate,Cardio,,538.0,Vegetables,,64.2,105.6,65.2,Weight Loss,Snack,65.0,,2450.0,1912.0
Beginner,Strength,,849.0,Milk,,70.6,224.4,85.7,Weight Loss,Snack,28.0,,2717.0,1868.0
Beginner,Strength,,664.0,Milk,,31.1,108.5,54.0,Muscle Gain,Breakfast,78.0,,2260.0,1596.0
Intermediate,HIIT,,588.0,Rice,,69.9,162.6,82.5,Fitness,Lunch,27.0,,1967.0,1379.0
Intermediate,Yoga,,586.0,Paneer,,29.5,192.1,61.0,Weight Loss,Lunch,56.0,,2671.0,2085.0
Intermediate,HIIT,,588.0,Fish,,61.6,263.3,18.1,Weight Loss,Dinner,89.0,,1224.0,636.0
Advanced,HIIT,,202.0,Rice,,45.1,82.8,22.2,Muscle Gain,Lunch,82.0,,1709.0,1507.0
Intermediate,Yoga,,185.0,Milk,,37.3,228.2,94.8,Weight Loss,Dinner,50.0,,1444.0,1259.0
Intermediate,Yoga,,339.0,Chicken,,66.1,196.1,13.6,Muscle Gain,Breakfast,77.0,,2501.0,2162.0
Advanced,HIIT,,244.0,Egg,,49.3,124.3,34.9,Muscle Gain,Breakfast,79.0,,3205.0,2961.0
Beginner,Cardio,,378.0,Egg,,77.2,222.8,37.0,Muscle Gain,Dinner,71.0,,1815.0,1437.0
Beginner,HIIT,,439.0,Egg,,65.8,254.3,12.3,Fitness,Breakfast,75.0,,2994.0,2555.0
Advanced,Strength,,161.0,Vegetables,,67.8,241.8,41.8,Muscle Gain,Breakfast,68.0,,1551.0,1390.0
Advanced,Yoga,,826.0,Vegetables,,10.5,122.0,19.9,Fitness,Lunch,81.0,,2244.0,1418.0
Advanced,Cardio,,636.0,Milk,,61.1,141.5,24.8,Weight Loss,Dinner,62.0,,2889.0,2253.0
Intermediate,Yoga,,432.0,Vegetables,,75.6,69.8,97.1,Weight Loss,Dinner,52.0,,2981.0,2549.0
Advanced,Strength,,162.0,Chicken,,51.6,275.2,81.8,Muscle Gain,Dinner,24.0,,1227.0,1065.0
Intermediate,Cardio,,439.0,Vegetables,,33.8,219.3,84.7,Muscle Gain,Dinner,55.0,,3227.0,2788.0
Beginner,HIIT,,860.0,Paneer,,40.1,210.2,64.8,Muscle Gain,Snack,42.0,,3312.0,2452.0
Intermediate,Yoga,,582.0,Fish,,66.3,97.4,46.6,Fitness,Lunch,49.0,,2624.0,2042.0
Beginner,Cardio,,244.0,Milk,,24.8,162.3,10.8,Fitness,Snack,81.0,,2598.0,2354.0
Intermediate,HIIT,,326.0,Paneer,,11.3,270.6,22.7,Fitness,Snack,77.0,,1978.0,1652.0
Beginner,Yoga,,321.0,Egg,,11.7,134.2,61.9,Muscle Gain,Snack,41.0,,3158.0,2837.0
Intermediate,Cardio,,213.0,Vegetables,,73.8,186.8,22.0,Fitness,Breakfast,22.0,,2324.0,2111.0
Advanced,Strength,,260.0,Fish,,48.7,228.9,49.9,Fitness,Snack,50.0,,3470.0,3210.0
Intermediate,HIIT,,511.0,Rice,,14.6,286.6,84.7,Weight Loss,Lunch,29.0,,2557.0,2046.0
Advanced,Yoga,,611.0,Chicken,,73.3,285.6,52.4,Muscle Gain,Snack,47.0,,1217.0,606.0
Beginner,Strength,,506.0,Milk,,76.1,152.9,51.3,Fitness,Breakfast,64.0,,3287.0,2781.0
Advanced,Yoga,,717.0,Vegetables,,72.4,84.8,69.7,Fitness,Dinner,79.0,,1625.0,908.0
Beginner,Cardio,,835.0,Rice,,73.8,247.4,39.4,Muscle Gain,Lunch,27.0,,2903.0,2068.0
Intermediate,Strength,,156.0,Chicken,,31.1,207.4,16.7,Weight Loss,Breakfast,25.0,,1428.0,1272.0
Beginner,Strength,,368.0,Paneer,,25.4,154.5,40.5,Muscle Gain,Snack,20.0,,2898.0,2530.0
Advanced,Yoga,,319.0,Rice,,29.2,191.0,66.3,Muscle Gain,Breakfast,46.0,,1974.0,1655.0
Advanced,HIIT,,584.0,Oats,,61.0,220.4,85.1,Fitness,Lunch,71.0,,1332.0,748.0
Beginner,HIIT,,585.0,Milk,,78.2,106.1,21.1,Weight Loss,Breakfast,22.0,,1430.0,845.0
Advanced,Cardio,,278.0,Vegetables,,21.2,241.8,84.6,Fitness,Dinner,26.0,,2166.0,1888.0
Intermediate,Strength,,640.0,Paneer,,44.1,104.1,26.2,Fitness,Lunch,73.0,,2673.0,2033.0
Beginner,Cardio,,336.0,Fruits,,41.3,171.1,35.7,Muscle Gain,Dinner,60.0,,2256.0,1920.0
Intermediate,HIIT,,360.0,Egg,,57.9,195.8,64.1,Muscle Gain,Snack,41.0,,2155.0,1795.0
Intermediate,HIIT,,306.0,Chicken,,34.7,259.4,22.2,Weight Loss,Snack,85.0,,2340.0,2034.0
Intermediate,Yoga,,736.0,Rice,,55.0,55.8,60.1,Muscle Gain,Breakfast,82.0,,2373.0,1637.0
Intermediate,Strength,,476.0,Chicken,,72.5,181.1,28.0,Muscle Gain,Dinner,36.0,,1593.0,1117.0
Advanced,HIIT,,444.0,Milk,,45.2,144.2,40.4,Fitness,Dinner,29.0,,3476.0,3032.0
Advanced,Cardio,,656.0,Fish,,10.3,294.3,14.6,Fitness,Dinner,76.0,,2239.0,1583.0
Intermediate,Strength,,395.0,Fish,,30.6,142.0,64.4,Fitness,Lunch,77.0,,1809.0,1414.0
Advanced,Yoga,,267.0,Egg,,77.6,160.3,65.7,Muscle Gain,Breakfast,59.0,,3020.0,2753.0
Intermediate,Strength,,756.0,Oats,,48.4,96.4,73.9,Fitness,Breakfast,59.0,,2438.0,1682.0
Advanced,Strength,,314.0,Chicken,,71.1,133.9,58.3,Muscle Gain,Dinner,76.0,,1494.0,1180.0
Intermediate,Strength,,357.0,Vegetables,,31.8,254.5,89.5,Muscle Gain,Dinner,89.0,,3127.0,2770.0
Advanced,Strength,,363.0,Rice,,43.0,271.6,93.9,Fitness,Breakfast,68.0,,2877.0,2514.0
Intermediate,Yoga,,256.0,Fruits,,19.3,156.0,77.1,Fitness,Lunch,63.0,,3416.0,3160.0
Intermediate,Strength,,854.0,Oats,,34.8,218.7,50.6,Fitness,Breakfast,71.0,,2813.0,1959.0
Intermediate,Yoga,,296.0,Fish,,12.8,226.1,43.3,Fitness,Breakfast,31.0,,3479.0,3183.0
Intermediate,Strength,,276.0,Egg,,23.2,70.7,90.3,Weight Loss,Lunch,86.0,,2606.0,2330.0
Advanced,Strength,,886.0,Oats,,68.2,293.7,59.9,Weight Loss,Snack,49.0,,2521.0,1635.0
Beginner,Cardio,,777.0,Fruits,,34.2,163.1,54.5,Weight Loss,Dinner,35.0,,1357.0,580.0
Advanced,HIIT,,151.0,Egg,,61.1,134.8,76.3,Weight Loss,Dinner,76.0,,1242.0,1091.0
Advanced,HIIT,,426.0,Milk,,65.6,187.7,99.3,Fitness,Lunch,31.0,,2726.0,2300.0
Beginner,HIIT,,290.0,Rice,,33.5,266.7,85.6,Muscle Gain,Breakfast,66.0,,2667.0,2377.0
Intermediate,HIIT,,501.0,Chicken,,48.0,109.1,39.6,Fitness,Lunch,40.0,,2961.0,2460.0
Beginner,Strength,,501.0,Milk,,56.3,220.1,91.1,Fitness,Snack,33.0,,1867.0,1366.0
Advanced,Yoga,,844.0,Milk,,73.8,183.7,84.2,Fitness,Breakfast,89.0,,2304.0,1460.0
Advanced,Cardio,,389.0,Milk,,78.4,78.2,22.9,Weight Loss,Dinner,39.0,,1375.0,986.0
Intermediate,Strength,,370.0,Fish,,44.4,73.8,74.4,Fitness,Snack,80.0,,3102.0,2732.0
Beginner,Cardio,,791.0,Fruits,,64.1,192.0,35.9,Muscle Gain,Lunch,30.0,,2758.0,1967.0
Beginner,Cardio,,769.0,Egg,,56.6,70.7,63.1,Fitness,Dinner,74.0,,1915.0,1146.0
Advanced,Yoga,,644.0,Milk,,46.9,186.9,31.9,Muscle Gain,Snack,63.0,,1533.0,889.0
Beginner,Cardio,,200.0,Milk,,17.0,56.7,29.4,Weight Loss,Snack,74.0,,1732.0,1532.0
Advanced,Cardio,,572.0,Fruits,,22.9,260.8,47.5,Weight Loss,Breakfast,57.0,,2595.0,2023.0
Intermediate,Yoga,,205.0,Egg,,12.8,126.0,28.6,Fitness,Dinner,71.0,,2689.0,2484.0
Beginner,HIIT,,764.0,Rice,,37.1,250.0,33.3,Fitness,Snack,60.0,,2161.0,1397.0
Intermediate,Yoga,,787.0,Chicken,,77.1,172.1,29.1,Muscle Gain,Breakfast,27.0,,3004.0,2217.0
Intermediate,HIIT,,243.0,Paneer,,79.7,289.8,87.5,Weight Loss,Dinner,88.0,,1314.0,1071.0
Intermediate,Cardio,,267.0,Egg,,26.3,176.2,74.2,Fitness,Lunch,45.0,,3198.0,2931.0
Intermediate,Yoga,,271.0,Oats,,73.4,57.9,63.6,Fitness,Lunch,42.0,,2237.0,1966.0
Advanced,Cardio,,778.0,Chicken,,50.3,230.1,46.8,Fitness,Lunch,23.0,,1774.0,996.0
Beginner,Strength,,865.0,Chicken,,26.3,272.4,36.6,Fitness,Lunch,20.0,,3279.0,2414.0
Beginner,Cardio,,394.0,Fruits,,79.0,92.7,95.3,Weight Loss,Breakfast,52.0,,3114.0,2720.0
Intermediate,Strength,,489.0,Paneer,,23.4,220.4,78.3,Weight Loss,Dinner,80.0,,2942.0,2453.0
Beginner,Yoga,,600.0,Oats,,21.4,252.3,99.2,Fitness,Lunch,35.0,,3171.0,2571.0
Intermediate,Yoga,,649.0,Milk,,70.3,184.3,68.6,Weight Loss,Snack,73.0,,2725.0,2076.0
Beginner,HIIT,,159.0,Vegetables,,58.1,136.7,80.8,Muscle Gain,Dinner,61.0,,1716.0,1557.0
Intermediate,Cardio,,542.0,Milk,,60.4,239.1,21.2,Muscle Gain,Snack,86.0,,1680.0,1138.0
Intermediate,HIIT,,236.0,Vegetables,,16.3,112.0,75.6,Fitness,Breakfast,42.0,,2568.0,2332.0
Advanced,Yoga,,507.0,Egg,,52.1,122.1,22.9,Fitness,Lunch,33.0,,2399.0,1892.0
Beginner,Yoga,,322.0,Rice,,48.1,163.6,49.8,Fitness,Dinner,36.0,,1303.0,981.0
Advanced,Yoga,,208.0,Chicken,,52.4,160.5,12.6,Weight Loss,Dinner,57.0,,2788.0,2580.0
Advanced,Yoga,,228.0,Milk,,15.3,185.9,76.8,Muscle Gain,Dinner,44.0,,2845.0,2617.0
Beginner,Yoga,,643.0,Vegetables,,39.6,216.9,70.1,Weight Loss,Breakfast,26.0,,2526.0,1883.0
Advanced,HIIT,,682.0,Egg,,31.6,240.2,12.8,Muscle Gain,Breakfast,47.0,,2247.0,1565.0
Intermediate,Cardio,,613.0,Oats,,74.7,199.1,30.2,Muscle Gain,Breakfast,61.0,,1691.0,1078.0
Intermediate,Yoga,,411.0,Chicken,,69.5,265.0,96.6,Fitness,Snack,82.0,,1360.0,949.0
Beginner,Cardio,,471.0,Fruits,,48.7,294.5,78.6,Muscle Gain,Dinner,28.0,,1796.0,1325.0
Intermediate,Yoga,,213.0,Chicken,,76.2,108.4,90.4,Muscle Gain,Lunch,41.0,,2987.0,2774.0
Beginner,Yoga,,764.0,Vegetables,,29.8,212.6,75.8,Muscle Gain,Lunch,73.0,,2354.0,1590.0
Advanced,Yoga,,765.0,Fruits,,22.8,116.7,80.3,Muscle Gain,Snack,89.0,,2922.0,2157.0
Intermediate,HIIT,,262.0,Fish,,51.4,241.2,90.6,Muscle Gain,Lunch,78.0,,2758.0,2496.0
Advanced,Yoga,,184.0,Chicken,,78.7,197.6,80.5,Weight Loss,Snack,33.0,,2480.0,2296.0
Intermediate,Yoga,,335.0,Vegetables,,58.0,207.5,95.9,Muscle Gain,Lunch,83.0,,3316.0,2981.0
Intermediate,Cardio,,373.0,Oats,,68.1,267.7,39.9,Fitness,Dinner,21.0,,2314.0,1941.0
Beginner,Yoga,,164.0,Egg,,75.4,116.4,99.1,Fitness,Breakfast,32.0,,1558.0,1394.0
Beginner,Strength,,862.0,Paneer,,66.1,146.4,99.6,Weight Loss,Dinner,84.0,,1528.0,666.0
Beginner,Cardio,,699.0,Chicken,,47.1,101.8,28.2,Fitness,Breakfast,42.0,,2962.0,2263.0
Beginner,Yoga,,369.0,Vegetables,,50.6,161.2,34.8,Muscle Gain,Dinner,36.0,,1874.0,1505.0
Advanced,Cardio,,863.0,Milk,,63.7,105.8,70.4,Fitness,Breakfast,80.0,,3059.0,2196.0
Beginner,HIIT,,408.0,Paneer,,70.6,241.3,97.3,Muscle Gain,Dinner,50.0,,2375.0,1967.0
Advanced,HIIT,,450.0,Rice,,39.2,240.4,21.7,Muscle Gain,Snack,28.0,,1796.0,1346.0
Intermediate,HIIT,,608.0,Fish,,48.3,203.0,45.5,Fitness,Snack,75.0,,3377.0,2769.0
Advanced,Cardio,,689.0,Rice,,25.0,232.3,14.6,Weight Loss,Breakfast,57.0,,2034.0,1345.0
Intermediate,Strength,,605.0,Milk,,77.6,233.0,72.4,Muscle Gain,Breakfast,33.0,,3165.0,2560.0
Intermediate,Yoga,,157.0,Fruits,,21.2,167.7,20.8,Fitness,Lunch,64.0,,3272.0,3115.0
Advanced,HIIT,,831.0,Vegetables,,52.1,62.5,68.1,Fitness,Dinner,87.0,,3278.0,2447.0
Beginner,Cardio,,489.0,Rice,,51.8,80.7,16.9,Weight Loss,Lunch,22.0,,2602.0,2113.0
Advanced,Cardio,,272.0,Rice,,49.3,183.8,76.8,Fitness,Snack,60.0,,1500.0,1228.0
Advanced,Cardio,,431.0,Oats,,42.5,128.0,57.6,Fitness,Lunch,30.0,,3053.0,2622.0
Intermediate,Cardio,,225.0,Vegetables,,22.6,186.0,78.8,Weight Loss,Breakfast,27.0,,3427.0,3202.0
Intermediate,HIIT,,517.0,Chicken,,10.0,253.9,91.2,Weight Loss,Lunch,53.0,,3201.0,2684.0
Beginner,Strength,,190.0,Rice,,71.4,245.8,48.5,Weight Loss,Breakfast,85.0,,3114.0,2924.0
Beginner,HIIT,,592.0,Egg,,26.9,81.1,40.8,Fitness,Lunch,29.0,,2196.0,1604.0
Beginner,Strength,,841.0,Paneer,,21.8,280.8,66.8,Muscle Gain,Snack,61.0,,3206.0,2365.0
Intermediate,Cardio,,260.0,Chicken,,16.4,195.7,50.4,Muscle Gain,Snack,67.0,,1404.0,1144.0
Beginner,Yoga,,749.0,Paneer,,20.5,254.2,59.0,Weight Loss,Snack,58.0,,1850.0,1101.0
Advanced,HIIT,,351.0,Paneer,,36.5,209.9,68.0,Muscle Gain,Dinner,23.0,,2232.0,1881.0
Advanced,HIIT,,280.0,Paneer,,23.7,70.7,39.4,Fitness,Lunch,86.0,,3101.0,2821.0
Beginner,Strength,,407.0,Rice,,44.3,73.6,68.0,Fitness,Breakfast,62.0,,1958.0,1551.0
Beginner,HIIT,,687.0,Oats,,42.0,64.4,56.8,Fitness,Breakfast,86.0,,3353.0,2666.0
Advanced,Strength,,625.0,Milk,,43.4,132.7,65.7,Weight Loss,Lunch,23.0,,3013.0,2388.0
Beginner,Yoga,,874.0,Paneer,,18.9,233.1,85.6,Weight Loss,Dinner,65.0,,2479.0,1605.0
Intermediate,Yoga,,273.0,Milk,,23.8,98.3,54.9,Fitness,Lunch,82.0,,1569.0,1296.0
Intermediate,Yoga,,179.0,Vegetables,,10.3,243.2,57.9,Weight Loss,Snack,20.0,,3375.0,3196.0
Advanced,HIIT,,196.0,Fruits,,34.8,236.0,85.4,Weight Loss,Lunch,30.0,,2809.0,2613.0
Intermediate,Cardio,,845.0,Chicken,,41.4,83.5,58.7,Weight Loss,Lunch,38.0,,3227.0,2382.0
Intermediate,Yoga,,830.0,Fruits,,10.7,138.6,21.1,Weight Loss,Snack,22.0,,1731.0,901.0
Intermediate,HIIT,,843.0,Rice,,56.0,77.7,88.2,Fitness,Lunch,24.0,,1296.0,453.0
Intermediate,Cardio,,864.0,Egg,,36.7,81.0,11.9,Fitness,Lunch,49.0,,2817.0,1953.0
Beginner,Strength,,568.0,Vegetables,,24.5,130.7,78.8,Weight Loss,Snack,82.0,,2684.0,2116.0
Intermediate,Yoga,,287.0,Paneer,,68.3,63.4,22.2,Weight Loss,Dinner,68.0,,2952.0,2665.0
Advanced,Cardio,,631.0,Fish,,22.5,77.6,18.3,Fitness,Lunch,64.0,,3338.0,2707.0
Beginner,Strength,,853.0,Rice,,54.8,144.5,76.9,Muscle Gain,Snack,73.0,,2427.0,1574.0
Advanced,HIIT,,343.0,Fruits,,78.9,257.8,30.4,Muscle Gain,Breakfast,68.0,,2147.0,1804.0
Intermediate,Yoga,,219.0,Paneer,,36.9,282.0,65.3,Muscle Gain,Snack,49.0,,2522.0,2303.0
Beginner,Cardio,,214.0,Paneer,,48.5,193.7,16.2,Fitness,Breakfast,41.0,,3471.0,3257.0
Beginner,HIIT,,378.0,Vegetables,,21.7,72.9,19.4,Weight Loss,Snack,39.0,,1215.0,837.0
Beginner,Yoga,,577.0,Egg,,36.2,207.0,53.2,Weight Loss,Dinner,36.0,,2113.0,1536.0
Intermediate,Strength,,850.0,Oats,,29.7,129.2,73.5,Weight Loss,Lunch,60.0,,1206.0,356.0
Advanced,Cardio,,725.0,Oats,,47.2,250.9,99.2,Fitness,Snack,31.0,,1460.0,735.0
Beginner,Yoga,,446.0,Egg,,33.8,169.7,30.1,Muscle Gain,Snack,55.0,,1324.0,878.0
Advanced,Cardio,,800.0,Vegetables,,55.3,78.6,39.6,Weight Loss,Lunch,77.0,,3223.0,2423.0
Advanced,Cardio,,865.0,Egg,,37.6,191.7,13.0,Fitness,Lunch,36.0,,3358.0,2493.0
Beginner,HIIT,,244.0,Paneer,,71.0,229.9,82.2,Fitness,Breakfast,38.0,,1287.0,1043.0
Intermediate,Yoga,,602.0,Vegetables,,45.6,269.2,77.8,Weight Loss,Lunch,22.0,,1861.0,1259.0
Intermediate,HIIT,,861.0,Chicken,,31.2,243.6,90.2,Weight Loss,Breakfast,76.0,,2879.0,2018.0
Advanced,HIIT,,865.0,Oats,,18.3,153.5,17.0,Muscle Gain,Lunch,21.0,,3376.0,2511.0
Beginner,Yoga,,176.0,Fish,,68.5,231.1,46.1,Muscle Gain,Dinner,32.0,,2818.0,2642.0
Advanced,Strength,,690.0,Paneer,,29.7,221.1,25.5,Weight Loss,Breakfast,30.0,,1497.0,807.0
Advanced,Strength,,755.0,Fruits,,10.2,129.9,72.1,Fitness,Dinner,86.0,,2771.0,2016.0
Intermediate,Yoga,,250.0,Rice,,52.2,90.4,74.0,Weight Loss,Breakfast,88.0,,1660.0,1410.0
Intermediate,Strength,,511.0,Vegetables,,33.7,247.1,94.8,Weight Loss,Breakfast,75.0,,2274.0,1763.0
Intermediate,Yoga,,571.0,Egg,,46.4,297.8,53.5,Weight Loss,Breakfast,34.0,,1870.0,1299.0
Beginner,Cardio,,460.0,Fish,,75.7,136.7,58.3,Muscle Gain,Breakfast,42.0,,1716.0,1256.0
Beginner,HIIT,,638.0,Oats,,67.9,134.2,53.9,Weight Loss,Snack,58.0,,1713.0,1075.0
Beginner,Strength,,413.0,Fruits,,72.1,126.0,58.6,Weight Loss,Snack,70.0,,1990.0,1577.0
Beginner,HIIT,,182.0,Vegetables,,25.8,61.7,77.0,Muscle Gain,Breakfast,65.0,,1796.0,1614.0
Intermediate,Cardio,,608.0,Egg,,62.0,165.7,77.2,Weight Loss,Breakfast,47.0,,2458.0,1850.0
Advanced,HIIT,,727.0,Rice,,17.8,157.8,85.0,Fitness,Snack,72.0,,3344.0,2617.0
Intermediate,Strength,,548.0,Fish,,73.2,143.2,89.8,Muscle Gain,Lunch,58.0,,1260.0,712.0
Advanced,Cardio,,502.0,Egg,,18.2,262.3,92.1,Fitness,Dinner,47.0,,3253.0,2751.0
Beginner,Yoga,,155.0,Oats,,72.7,294.8,83.5,Muscle Gain,Lunch,87.0,,2187.0,2032.0
Beginner,Strength,,185.0,Oats,,67.7,73.0,24.2,Weight Loss,Lunch,87.0,,2706.0,2521.0
Intermediate,Strength,,388.0,Rice,,13.3,298.4,16.0,Muscle Gain,Lunch,36.0,,3034.0,2646.0
Beginner,Strength,,480.0,Chicken,,46.4,230.8,89.7,Weight Loss,Breakfast,26.0,,3109.0,2629.0
Intermediate,HIIT,,196.0,Oats,,20.2,115.7,28.9,Fitness,Breakfast,29.0,,1725.0,1529.0
Advanced,Cardio,,681.0,Vegetables,,63.0,276.6,37.3,Muscle Gain,Breakfast,77.0,,3215.0,2534.0
Beginner,Yoga,,572.0,Egg,,15.7,194.5,35.2,Fitness,Dinner,77.0,,2044.0,1472.0
Advanced,Strength,,863.0,Vegetables,,41.8,236.0,22.3,Weight Loss,Breakfast,85.0,,2730.0,1867.0
Intermediate,Strength,,216.0,Chicken,,66.1,111.4,88.1,Weight Loss,Breakfast,81.0,,2469.0,2253.0
Intermediate,Cardio,,400.0,Rice,,43.7,61.8,74.6,Muscle Gain,Snack,88.0,,2175.0,1775.0
Advanced,Strength,,163.0,Milk,,68.4,193.7,99.1,Fitness,Dinner,23.0,,2288.0,2125.0
Beginner,Yoga,,775.0,Egg,,75.9,90.9,21.7,Fitness,Snack,63.0,,3104.0,2329.0
Beginner,Cardio,,767.0,Rice,,18.0,255.6,73.3,Muscle Gain,Snack,60.0,,2943.0,2176.0
Intermediate,Strength,,672.0,Chicken,,42.3,70.0,66.1,Weight Loss,Breakfast,40.0,,2659.0,1987.0
Intermediate,Yoga,,277.0,Oats,,23.0,257.2,87.4,Weight Loss,Lunch,39.0,,2206.0,1929.0
Intermediate,Strength,,720.0,Rice,,57.3,98.6,36.7,Fitness,Dinner,31.0,,1533.0,813.0
Beginner,Strength,,326.0,Milk,,21.5,244.9,52.4,Fitness,Dinner,70.0,,2799.0,2473.0
Advanced,HIIT,,700.0,Vegetables,,20.0,73.8,58.3,Fitness,Snack,70.0,,2083.0,1383.0
Advanced,Cardio,,194.0,Fish,,59.8,69.3,80.7,Weight Loss,Breakfast,89.0,,1225.0,1031.0
Beginner,Yoga,,789.0,Fish,,27.5,268.8,58.8,Fitness,Snack,67.0,,3213.0,2424.0
Advanced,HIIT,,296.0,Oats,,73.1,263.9,45.8,Muscle Gain,Lunch,83.0,,1439.0,1143.0
Intermediate,HIIT,,445.0,Egg,,14.7,252.1,12.1,Fitness,Breakfast,31.0,,3138.0,2693.0
Advanced,Cardio,,204.0,Chicken,,22.6,163.5,55.2,Weight Loss,Dinner,53.0,,1886.0,1682.0
Intermediate,Cardio,,361.0,Fruits,,36.3,192.5,84.8,Fitness,Snack,20.0,,1403.0,1042.0
Intermediate,Yoga,,415.0,Fruits,,10.7,56.2,93.8,Weight Loss,Breakfast,56.0,,2220.0,1805.0
Beginner,Cardio,,320.0,Oats,,55.6,152.4,63.5,Weight Loss,Lunch,68.0,,2636.0,2316.0
Advanced,Cardio,,710.0,Rice,,35.3,57.9,55.2,Fitness,Breakfast,42.0,,2100.0,1390.0
Advanced,Strength,,327.0,Fish,,24.2,277.5,98.6,Fitness,Breakfast,22.0,,2501.0,2174.0
Intermediate,HIIT,,702.0,Egg,,68.7,225.0,37.7,Weight Loss,Dinner,39.0,,2329.0,1627.0
Beginner,HIIT,,524.0,Fish,,17.5,164.4,79.7,Fitness,Lunch,34.0,,2584.0,2060.0
Beginner,Strength,,595.0,Egg,,32.7,82.0,30.9,Fitness,Dinner,64.0,,1870.0,1275.0
Advanced,HIIT,,539.0,Vegetables,,78.0,201.2,92.8,Fitness,Breakfast,88.0,,3411.0,2872.0
Beginner,HIIT,,273.0,Oats,,64.1,120.6,44.4,Fitness,Dinner,79.0,,2034.0,1761.0
Advanced,Cardio,,346.0,Fish,,67.0,228.4,61.1,Weight Loss,Snack,79.0,,3347.0,3001.0
Intermediate,Strength,,799.0,Rice,,25.9,278.6,62.8,Fitness,Snack,46.0,,1888.0,1089.0
Intermediate,Strength,,704.0,Paneer,,71.6,60.4,54.5,Fitness,Lunch,40.0,,1703.0,999.0
Advanced,Strength,,495.0,Egg,,43.5,173.5,82.6,Weight Loss,Lunch,35.0,,2709.0,2214.0
Beginner,Strength,,495.0,Chicken,,41.8,152.4,97.6,Fitness,Snack,81.0,,2735.0,2240.0
Intermediate,Yoga,,498.0,Egg,,62.6,128.0,70.4,Muscle Gain,Snack,21.0,,2083.0,1585.0
Advanced,Cardio,,485.0,Egg,,70.3,290.6,88.0,Muscle Gain,Dinner,36.0,,1915.0,1430.0
Intermediate,HIIT,,727.0,Fish,,14.2,125.7,17.7,Weight Loss,Dinner,27.0,,3073.0,2346.0
Advanced,Yoga,,814.0,Fruits,,78.6,85.2,27.0,Muscle Gain,Snack,27.0,,1225.0,411.0
Beginner,Strength,,716.0,Egg,,25.5,154.0,25.8,Weight Loss,Dinner,65.0,,2066.0,1350.0
